[00:00] 今夜我用尽所有。
[15:25] 把属于马的属于植物的归为一类。所以我们辨别概念规则和解决问题是不是也属于智慧技能的学习啊？因为在这里边它有探究它最终的学习结果哈。那同样单说规则原理概念间的关系，你也会觉得它好像在描述，但是在加镍这个地方看来。
[15:48] 你最终学会了这个它的结果是看嘛，可以运用它运用公式去解题，运用规律原理去指导行为，这是它的结果，是不是？所以它这里边说到的规则原理，更多指的是我们自然学科当中的一些概念公式定理？
[16:10] 就是能知道行为的那同样高级规则和规则的不同在于哪儿？你一定要记住他们是从低到高。所以前面的规则更多是单一的简单的解决的也是极为简单的这样的一些东西。而问题解决呢，它对应的是复杂的。
[16:31] 对应的是组合的。所以呢问题呢有可能在题目当中显现出来了多个问题的一些趋势。哎，或者强调了这个问题具有一定的复杂性。我可能单纯用一个规则没有办法完全处理掉，对吧？好了，那这几个哈是需要你们课下反复的去消化吸收的那再看阿瑟雷伯教我们学习分为了哪两个。
[16:54] 根据意识水平，哎，内隐和外显什么是内隐。它更多强调的就是这个我参与的意识多不多，哎，更多强调无意识，不知不觉，什么叫无意识，就是我不知不觉记住的就叫无意识的呀。我没特意的去记，我也不清楚我现在正在记它。
[17:16] 但是后来我就发现我记住了，而外显学习呢是有意识，就像你现在在听课，记某一个知识点，你是有意识的知道大脑在思考啥，在想啥，付出了努力，然后反复的去思考，把它记住的哈。这是我们的外显学习。那再看奥素贝尔分类哈，一个是方式。
[17:36] 一个新材学习材料就是我们说的新知识，学者原有的关系就是我们的旧知识哈。他们俩的关系。那上面呢我们分为了接受和发现，同学们是比较好分辨的哈，就是别人给我直接学结论是接受。而我自己独立探索呢是发现。那第二个呢强调的是。
[17:57] 机械和有意义。那这个机械呢指的是我确实有有经验，但是我理解不了这个材料在说啥，理解不了。哎，那这个属于我们的机械学习。但是如果我能理解能搭建联系呢，那那这就属于一种有意义学习哈。那我人为的去编个口诀，那这是我额外附加的。
[18:20] 不是本身我的知识和它就有内在联系的，不是本身就有联系的哈。哎，就像我们说咱们的这个嗯以前学过三角形，后来呢我们学四边形，那四边形它包含两个三角形。那本身它俩就是有联系，什么关系啊？二倍的关系。那这是我的旧经验，我用旧经验来理解。
[18:43] 咱们的新知识。那这时候是本身人家内在就有联系，本身就是有联系的那这是我额外赋予的吗？是别人额外编的吗？这不是，但是3.1415926呢，继承三颠14159，人家本身就是有这样的一个表述吗？这没有。
[19:04] 每个人都可以从不同的角度人为的去编。所以刚刚对这个有疑问的同学现在可以理解了吗？可以理解了的话，给老师扣个一。嗯，好了，那后面呢又给大家放了一些我国学者的一些分类哈。这块呢目前来说我在咱们四川还没有看到考题，其他省份如果考的话。
[19:28] 哎，它相应的也会比较少哈，更多就是考实际。所以呢你就用你自己的方法哎发挥吧，你就去实际吧。那首先呢机械技能唉，知识技能基本上都脱不开哈。你看所有的分类都有知识，都有技能。他俩就不用单独记了。那额外呢冯忠良呢说到了是社会或者是行为规范。
[19:50] 就是我除了学知识，哎，例如这个语文、古诗，这个历史，咱们的呃历史事件或者学技能，学了体育，哎，怎么跳广播体操。那同时呢我还要学习社会对我们的一些要求，要求我们行为当中怎么去遵循社会的一些规章制度等等哈那这个也是要进行学习的。
[20:13] 那潘书呢它有两个版本。两个版本。第一个版本呢，其实你会发现这个社会行为规范跟这个说的差不多意思。那社会规范它涉不涉及到一些道德品质的一些东西啊，道德品质反倒要求的会更高一点，对吧？会更高一点。哎，也涉及到了一些行为习惯。而我们的第二个版本呢。
[20:34] 除了社会行为规范，它又涉及到了一些智慧技能，就更多强调用大脑思考怎么去做的一个问题。而动作呢更多是骨骼肌肉的角度哈。所以这块你简单了解有个印象，考试的时候不太会考说这是冯中良的还是潘书的，哎，一般就是多选，你看到有谁了，哎，你就把谁匹配上选上去就行了哈，就是一个基础实际。
[20:57] 好了，那这块咱们过了，可以吗？可以的话，来我们继续看我们的实战演练的部分哈。来，首先第一题，咱们是不是之前刚做过讲解接受直接判错，第二个。
[21:20] 学习的定义是什么？还记得吗？同学们它是个体人机器动物，在一定的条件下，哎凭借经验或练习或反复经验产生的行为或行为潜能。
[21:42] 比较持久的变化。那在这个过程当中，它都可以观察吗？你看我外显的行为，例如我学了广播体操，我能被观察得到。但是我内引的这种，例如我今天就是一个态度的变化，就是认知的变化，就是情感哦，我特别爱这个人了，但是我不想表现出来。
[22:05] 我把的我的情感掩盖起来都可以观察得到吗？他观察不到哈观察不到。好了，那第三个这道题，奥斯贝尔的观点，幼儿能背诵很多古诗能背。首先这个古诗是他自己发现的吗？不是。
[22:26] 别人给的他一定是接受，但是不理解，那不理解是不是就对应了是我们的机械学习啊？那这里边直接问机械没问是机械接受还是发现哈，那也没毛病。对哈嗯，好了，第四题华生根据学习内容的不同分为了这个吗？谁分的？
[22:48] 奥苏贝尔分的哈嗯华生是谁？你们教学当中有没有说到他他是行为主义的创始人哈。嗯，他做了一个实验，就是小埃尔伯特实验的那个人教学有讲小埃尔伯特实验吗？哎，那个婴儿哈下午小埃尔伯特哈。
[23:09] 等到后边行为主义的时候，可以单简单跟大家说一下哈。好了，来继续看一下单项选择。首先第一题，下列属于学习现象的是哪一个息跳反射、本能疲劳生理4D，这个比较快吧，哎，我相对比较快一点的哈。来第二个慢一点，你们自己先读思考分析一下哈。
[23:32] 同学们一道题上来，你们第一件事是干嘛？是不是应该先辨别这道题，它考察的知识点是哪个知识点呀？有没有同学辨别出来他考察的是什么知识点，？
[23:52] 第一件事读题读题没毛病，你读完了，你再判断考点啊。对他考察的是人类和动物学习的区别，狗嘛？动物阿杰人那看一下哈阿杰他是怎么学习的？书籍网络教程。
[24:12] 掌握了这种编程，为了更好理解他还讨论还参加这样的编程比赛。那在这个学习的过程当中，他都利用了什么？是不是相应的，都有语言，而且要学习这些是不相应的，都有一些复杂的一些思考。
[24:33] 运用语言进行了一些相应复杂的一些思考。嗯思维。那狗呢阿杰养的狗只是经历了多次的训练，他听到铃声就能到饭碗前等待食物。这个哈我们先不管这道题考啥，光看这句话，你告诉我这个是刺激在前还是反应在前。
[24:56] 刺激在前还是反应在前，现在能不能分清这种题目，听到铃声是不是一个刺激，然后等到晚前是他的一个行为反应哈。所以呢它是刺激在前呀，谁说反应在前，刺激是别人给的，铃声是别人给的，而听到了之后。
[25:17] 才会到饭碗前等待呀。所以反应是不是在刺激之后看明白了吗？刚刚说反应在前的同学，刺激是别人给的，铃声是别人给的，反应是这个狗做出来的行为。嗯，那在这个过程当中就是有铃声就有反应，这个过程是多次训练的。
[25:38] 就告诉你，每次有铃声都会有食物，每次有铃声都会有食物，建立了这个连接，它才会等，是不是才会等哈？所以呢这是一个行为训练的过程。好了，那我们看一下选项哈，里边都说了啥？首先他说阿杰的学习是通过条件反射获得的吗？
[25:58] 什么是条件反射？我们马上就会学到行为主义？条件反射呢就是有这样的条件做出相应的反应。阿杰斯吗？他是有条件就能做出反应吗？他在这里边是不是有语言有思考，而不是单纯的对刺激就直接表现反应，那谁更多是条件反射的建立。
[26:20] 狗狗哈嗯，那第二个，他们学习没有本质区别吗？狗单纯的通过这种建立条件反射，通过这种训练就行了。但阿杰需要思考，需要语言啊，有没有区别，是有的哈，有的那再看第三个，他们有模仿吗？
[26:41] 里边有涉及到模仿的榜样对象吗？都没有榜样，哪来的模仿。即使是这个狗也没有人在这给他演示吧，所以他并未涉及到模仿的问题。那最后阿杰的学习依不是依赖于语言。你说书上没有语言还是教程上面没有语言，还是说讨论不需要语言？
[27:03] 那在这语言的过程当中，是不是也相应的涉及到思考，也就是复杂的认知。我们认知过程包括哪些还记得吗？感觉知觉、记忆、思维、想象言语，这都是我们的认知里边包含的内容，而思维是这里边最高级的一种形式吧。
[27:25] 更复杂的一种形式吧。所以它包含复杂的认知能力，没毛病吧。从这个角度我们也能解出来，是不是？所以答案选4D，有没有问题，没有问题给老师扣个一哈，所以就一点点细致的从你已有的知识去思考哈。来第三题选哪一个？
[27:45] 有人选A有人选B来，同学们通过参观红色文化博物馆听讲解员讲中华文明的起源，它的落脚点是啥？产生了热爱之情，选B的同学我没理解。
[28:08] 他哪涉及到解决问题了，解决啥问题？因为你们看答案了，是不是我们答案给错了，然后咱同学这个地方就完全迷信于答案了，是不是？这个答案是一个基础性错误哈哎，既然说到了哈，我忘了上节课告诉你们了，我上节课就发现了，咱们术后这道题改答案哈。
[28:30] 当时校对的时候应该是没校对出来。嗯，但这道题还相应比较好识别，热爱之情情感的问题啊，情感的问题。所以答案选择A选项可以吧？嗯，书上的跟这个题不一样嗯，那是我那个我这边没更新出来吗？。
[28:53] 我当时那个版本是更新出来了的呀，我是用最新版本来看的呀，等会儿我对一下哈，68页啊，题目不一样，但是题目不一样的话，它的内容是差不多的对吧？嗯，那同学们你可以看一下你书上的那个。
[29:15] 书上的那个呢是观看了假医生假日，观看了一个电影，看完了电影之后产生了敬佩之情。那敬佩之情它有涉及到怎么做的问题吗？是不是也没有啊，我说呢当时这个答案怎么给的不对，我还说要改答案，原来后边是改题了，那可能是我当时得到的那个宗版给错了哈。
[29:39] 我再去要一份新的宗版。那这道题的话，对于书上讲义那道题选2B可以吗？因为敬佩之情，当时2B是态度哈，嗯，可以的话，给老师扣个一。那这道题我们就过了哈，都选态度。但是两个呢涉及到的这个态度，一个在A选项，一个在B选项哈。来再看一下第四题。
[30:00] 那这个答案就不用改了哈。嗯，第四题这道题选哪一个？当时这道题好多同学错了，你们现在还记得不就有同学大眼漏神漏在哪儿了？前面说到了归类，就光想到了这个归类的问题了。后边明确告诉你记忆方法，学习记忆各方面运用到的方法、技巧或调控哈。
[30:22] 对应的是我们的C选项认知策略。好，来再看一下第五题，体操动作选哪一个？嗯，选2B哈。哎，为什么体操动作这个地方选2B呢？如果有刺激反应选不选呢？那一定不选它体操动作他不可能就一个动作。
[30:43] 它一定是多个动作形成的一串动作，对吧？那信号学习呢强调自己在前，反应在后，辨别呢是区别，而这个呢是语言角度，那体操都是骨骼肌肉的角度了，所以它也排除了哈。来第六题做题的关键信息点在哪儿？嗯。
[31:03] 不知不觉是不是？那不知不觉对应的是内因学习哈。来再看第七题，下列属于奥苏贝尔有意义的这个呢也相当于我们之前讲的教材原理的一个改编。首先A选项它死记硬背乘法口诀表这属于啥学习。乘法口诀表，别人给的接受。
[31:26] 又死记硬背呢，机械接受。第二个错误迷宫是不是进行独立发现的一个过程啊，然后这个地方能理解吗？不能迷宫他没什么联系，理解不了。小素通过听讲解哈，听讲进一步的理解了概念。首先，听讲是一回事，是在干嘛？
[31:50] 是在接受进一步的理解有意义。所以答案出来了哈，选C。那最后一个记单词，单词是不是别人给的接受，但是我们又考察了这个点，我们说谐音记忆是不是人为赋予联系的情况。那这种情况它属于有意义吗？它不属于有意义。
[32:14] 所以这道题选择C选项哈，有的人说老师那不属于有意义，它属于啥呀？那对应的就是机械学习呗，他在这里边虽然赋予了联系，但是他也没建立这本质的联系，内在的联系哈。嗯，好了，来再看一下第八题，下列说法正确的是。
[32:35] 接受学习可以是机械的，可以是有益，对吧？因为我们说它彼此独立，哎，两个都可以试哈，有高低级之分吗？没有没有哈。嗯好，以上是我们的第一节的内容哈。第一节呢比较有挑战的是我们的加密。但是看同学们的一个听课反应呢。
[32:55] 其实我感觉你们吸收的还不错，个别难点的例子还需要不断的消化吸收。所以学习一定要对自己有信心，要相信你们没有问题，懂吗？哎，特别难的例子，你要相信这是需要特例特记的。我跟着老师的思路多理解两遍，哎，不代表你所有都没学明白，你前面基础的题目，基础的例子都搞定了。ok。
[33:19] 你学明白了，你没问题了，考场当中哪些为主，就同学们学习不要本末到这个就是头重脚轻哈。你一定要清楚，最重要的就是基础的，拿下基础就得到了天下。哎，偏难怪都是少数哈，都是少数。好了，那接下来呢我们再看一下相关的学习理论的部分哈。
[33:40] 理论的部分呢，行为认知限购人分。首先同学们就很痛苦，说老师人太多了，大流派我就整不明白哈。我们先浅浅的说一下哈。首先，行为跟别的好不好区分，很好区分，你就抓住行为两个字，他看外在，每个行为主义都关注你外在有没有行为的改变变化。
[34:04] 而且他既然是关注行为，整个行为主义呢就训练的过程当中就有点那种简单粗暴，就直接我训练你，我塑造你，我关注你喜不喜欢关注你大脑怎么想嘛？不关注哎，就简单粗暴，灌输你，让你外在行为改变，进行这样的行为训练哈。
[34:25] 而认知呢，我们前面是不是不断的说认知认知，认知主义叫信息加工心理学。在咱们的那个记忆的部分，同学们还记得吗？说用信息加工的术语，哎，还记得那句话吗？所以信息加工是啥意思？认知是啥意思？就是大脑里。
[34:47] 怎么思考这玩意儿的？所以整个认知主义这里边的人他都关注啥，关注我们大脑里怎么加工信息，怎么处理信息的。哎，这就是我们的认知。然后再往下建构主义呢，它的老祖宗是认知，就是它本身是源于认知哈。认知主义呢关注大脑怎么处理加工信息。
[35:10] 但是认知主义它更偏向于这种单向的吸收外在知识。不管是接受还是发现，他都认为很多都是别人给他的，然后他去消化了，他去内化了，哎，这是认知。那建构主义就不同意呀，他觉得哎呀我们学习知识。
[35:32] 并不是说别人把一些成品的东西放那儿或有些东西放那儿，我们自己去内化。而是有的时候每个人看到的都不一样，不同情境也不一样，知识在变化，我们能影响知识，知识也能影响我们。所以他虽然从它发展而来。但是它更多强调。
[35:53] 个体和环境哎是有这种相互作用的，哎，是有这种双向影响的，能明白不？哎，这就是它跟认知的不同，但是里边也有很多共同点哈。那说到这儿，我要提醒大家，就有的时候咱同学钻牛角尖钻什么牛角尖，你总是从共同点上找区别。
[36:15] 就他俩都一样的点，有同学非要问我，老师他俩都说了这句话，那怎么区分呢？这就是他俩一样的点，有什么好区分的，你要区分，那不应该从区别点当中进行区分吗？对不对？所以咱一定要清楚学习的角度和方向哈，共同点是人都有的这不需要区分，区分就在于不同。那他们俩都关注怎么去。
[36:38] 建构知识搭建知识体系，但不同点在于认知更多认为有客观存在的知识，谁学都一样。而建构呢认为知识呢每个人看到的理解到的都不一样，哎，更为主观哈，更为主观是双向的过程。那人本呢跟他们更不同点在哪呢？
[37:00] 他是后期发展的一个流派，他更多就是有点高大上，总觉得自己老厉害了。全人角度哎要关注情感，不能光关注大脑的思考，他觉得光关注大脑的思考没有用。唉，他要关注情感，也要关注认知。
[37:20] 哎，而且呢特别在意情感，特别在意人际关系，认为人性本善，老师给他有一个良好的关系，提供良好的环境，都能学的挺好的哎，那这就是他们的一个基础的大不同哈，后边还会细讲。首先前面大概能了解到吗？大概能了解到的话，给老师扣个一哈，然后我们再继续。
[37:42] 嗯，好，那么一一来看哈。这块我给大家提供了好多口诀哈，你觉得好用，你就用一下哈。第一个桑巴死板桑代克巴普洛夫行为死板私班。第二个科曼不输加涅科勒托尔曼布输伽涅。
[38:02] 健脾胃度呢就是建构主义有三个人，我觉得这个苦诀还是很好记的哈，尤其杜威是里边的这个理论渊源人物哎可以记哈脾胃度健脾胃度哈。嗯，然后呢罗马人这个也比较好记，就是罗杰斯马斯洛人本主义哈，人本主义。嗯，好了，那我们一来看哈，这是一个基础的记人名品。
[38:25] 配咱们的这个流派的哈。那后边的话还会给大家一些细致的口诀。那首先呢就是行为主义这块既然是行为研究行为的，每个人都有相应的实验。那我们就一定要记住他们用什么做了实验。桑黛克的猫巴普洛夫的狗斯基娜的小白鼠。
[38:46] 班杜拉的宝宝哈知道他们都用啥做了实验哈。来一一来看。首先前面这些基础实际，同学有没有看到他的考频次数76次啊，哎高频高频哈，高频当中的高频。首先呢这个流派叫做行为主义。它的创始人是谁呢？是华生。
[39:07] 之前有同学就说老师我没听过哎，他的那个小阿尔伯特实验，那简单给大家科普一下哈，也可以叫恐惧泛化实验。
[39:29] 这个实验是怎么做的呢？就是有个小朋友就叫阿尔伯特，然后呢给他玩毛茸茸的小白鼠，然后小孩嘛他也不怕这个玩啊，他就觉得好可爱，玩的很开心。当他玩的正开心的时候，就咱们的这个华生和他的助手拿着那种。
[39:49] 大锣啊或者发出巨大声音的鼓啊，就大声的敲击，把他吓一跳，吓得哇哇哭。当他一玩这种毛茸茸的小白鼠就吓唬他，一玩就吓唬他，导致了阿尔伯特产生了一个状态。什么状态？本来是看这种毛茸茸的小白鼠害怕到最后演变为。
[40:11] 看到所有带白毛的都怕，所以它的恐惧是不是就广泛化了，所以叫做恐惧泛化实验哈。哎，那这个实验呢其实对阿尔伯特的伤害挺大的。后来小埃尔伯特很早就走了哈，就走了。其实他可以进行这种消退实验的。
[40:33] 但是当时人家的父母就觉得对自己的孩子造成的损伤有点大，已经不信任华生了。所以呢没做后续的这样的一个实验的一个消退哈那同样在这个过程当中呢，其实这个实验是不是有违咱们的这种伦理性，哎，它是有违伦理性的哈嗯再后来好多人就不太让用人做实验了。
[40:56] 唉，即使用人做实验，在后边可以用人了，也不要达到这种伤害性质的东西哈。所以到桑黛克那边基本上都用动物做实验哈。嗯，好了，那这是华生，他是行为主义的创始人。那行为主义呢主要就是通过实验来研究外显行为的来跟着我的节奏听哈。
[41:18] 怎么用实验来研究外显行为呢？就是在实验情境当中给你一些刺激，看他做出什么样的反应。就例如给他小白鼠，看小阿尔伯特的反应。那同时呢这个地方刺激反应它没有箭头。所以有可能是刺激在前反应在后。
[41:41] 也有可能是反应在前，刺激在后。来，我再说一遍，我说刺激反应的连结就一定强调刺激在前吗？你这个不要被加灭的那个名称影响，它跟加密的第二个学习不一样，它就单纯说的整个行为主义的关注点。哎，所以呢。
[42:01] 这个地方你不要联系加涅的第二个水平哈，不要联系分开去记。所以在实验的过程当中，他是不是也可以控制行为。就例如我希望你举手，然后举手了，我就表扬，不举手我就不表扬。所以在实验的过程当中可以控制刺激，也可以控制行为。最主要的是看他们之间怎么建立联系。
[42:22] 哎，所以在这个过程当中，咱们这个流派可以叫行为主义，也可以叫廉洁主义。因为它关注的是反应的廉洁，刺激反应的廉洁，是不是？哎，所以这是它的别称哈。嗯，好，那还有一点需要大家记哈。行为主义的创始人确实是华生。
